_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
5ff1e1eb0a720f0523000575,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,500,1.60963E+12,5,FINISHED,26,5ff1e1eacfcf6c399c274ae6
5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,150,1.6096E+12,2,FINISHED,11,5ff1e194b6a9d73a3a9f1052
5ff1e1f10a720f052300057a,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,,1.60969E+12,,5,1.60963E+12,1,REJECTED,10,5ff1e1f1cfcf6c399c274b0b
5ff1e1ee0a7214ada100056f,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.60963E+12,4,FINISHED,28,5ff1e1eacfcf6c399c274ae6
5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.6096E+12,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e40a7214ada1000566,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,750,1.6096E+12,1,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3
5ff1e1cd0a720f052300056f,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.60969E+12,1,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052
5ff1e1a40a720f0523000569,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,500,1.60903E+12,1,FINISHED,10,5ff1e194b6a9d73a3a9f1052
5ff1e1ed0a7214ada100056e,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.60963E+12,5,FINISHED,20,5ff1e1eacfcf6c399c274ae6
5ff1e1eb0a7214ada100056b,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,250,1.60963E+12,3,FINISHED,20,5ff1e1eacfcf6c399c274ae6
5ff1e1c50a720f052300056c,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,100,1.6096E+12,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1a10a720f0523000568,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,750,1.60955E+12,5,FINISHED,50,5ff1e194b6a9d73a3a9f1052
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,,1.60969E+12,,8850,1.61237E+12,10,FLAGGED,290,5ff1e194b6a9d73a3a9f1052
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60409E+12,1.60409E+12,,1.60969E+12,1.60409E+12,750,1.604E+12,11,REJECTED,1,5f9c74f7c88c1415cbddb839
5ff1e1b20a7214ada100055a,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,300,1.61237E+12,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e90a7214ada1000569,,,1.60969E+12,1.60969E+12,,1.60969E+12,,,,0,FLAGGED,0,5ff1e1e9b6a9d73a3a9f10f6
5ff1e1df0a7214ada1000564,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,750,1.6096E+12,2,FINISHED,11,5ff1e1dfcfcf6c399c274ab3
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,,1.60969E+12,1.60969E+12,750,1.6096E+12,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54
5ff1e1eb0a720f0523000576,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,300,1.60963E+12,2,FINISHED,26,5ff1e1eacfcf6c399c274ae6
5ff1e1c80a720f052300056d,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.6096E+12,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5f9c74f90a7214ad07000038,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60409E+12,1.60409E+12,1.60969E+12,1.60969E+12,1.60969E+12,389.2,1.604E+12,6,FINISHED,14,5f9c74e3f1937815bd2c1d73
5ff1e1960a720f0523000567,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,750,1.6096E+12,1,FINISHED,1,5ff1e196cfcf6c399c274a38
5ff1e1ec0a7214ada100056c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,150,1.60963E+12,2,FINISHED,21,5ff1e1eacfcf6c399c274ae6
5ff1e1d70a720f0523000571,40,COMPLETE_PARTNER_RECEIPT,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,185,1.6096E+12,2,FINISHED,2,5ff1e194b6a9d73a3a9f1052
5ff1e1c60a7214ada100055e,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.6096E+12,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1ee0a7214ada1000570,5,All-receipts receipt bonus,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,1.60969E+12,5,1.60963E+12,5,FINISHED,27,5ff1e1eacfcf6c399c274ae6
